Title,Runtime,Artist,Album,Genre,spotify_id
Your Guardian Angel,3:49,The Red Jumpsuit Apparatus,Don't You Fake It,Rock,2Guz1b911CbpG8L92cnglI
Younglife,3:40,Anberlin,New Surrender,Alternative,0kNLCXZ0d2ZGUUrYd7Fgsu
Younger Girl,2:20,The Lovin' Spoonful,Platinum & Gold Collection: The Lovin' Spoonful,Pop,3wBR9vsWzL181bf8WDTvtX
Youngblood (feat. Lauren Babic),3:26,Bilmuri,Muri and Friends,Rock,
Young Robot,3:39,Dance Gavin Dance,Mothership,Rock,72Y5nO5FCZtq0w7T5JGbys
Young and Courageous,5:39,Tides of Man,Young and Courageous,Instrumental,5wPdYGYaMOmMr14V6cY1Bb
The Young and Beyond Reckless (feat. Tyler Carter),3:16,Slaves,Through Art We Are All Equals,Heavy Metal,
You're the Voice,5:04,John Farnham,Hot Rod,Soundtrack,
You're Not Alone,3:58,Saosin,Saosin [Clean],Alternative,
"You're Crashing, But You're No Wave",3:42,Fall Out Boy,Infinity On High,Rock,
You'll Forget Me Soon (feat. Sofia Sweet),3:53,Tilian,Material Me,Pop,
You Think You're Nickel Slick (But I Got Your Penny Change),3:46,Emery,I'm Only a Man (Bonus Track Version),Rock,7mhMnM1esRXdAEGROF7Xk5
You Should've Killed Me When You Had the Chance [*],3:40,A Day to Remember,,Alternative,
You Should've Killed Me When You Had the Chance [*],3:40,A Day to Remember,For Those Who Have Heart,Alternative,
You Just Don't Care,4:38,Santana,Santana [Bonus Tracks],Rock,2Q14NZY6HOi9Cnx2D8vjUH
You Don't Know (For Fuck's Sake),3:34,Yelawolf & Ed Sheeran,Slumdon Bridge,Hip-Hop,
You Didn't Have to Be So Nice,2:26,The Lovin' Spoonful,Platinum & Gold Collection: The Lovin' Spoonful,Pop,7khsvqWYjms5UASgLb8bft
You Could Laugh Forever but Never End up Happy.,9:33,Cloudkicker,Subsume,Rock,4bjYuuAIpCzzGvGN92pbqx
You Can Tell the World,2:50,Simon & Garfunkel,"Wednesday Morning, 3 A.M.",Singer/Songwriter,2O06yIr1WirIml9mAnUE90
"You Bring The Thunder, I’ll Bring The Lightning",4:15,Broadway,Kingdoms,Alternative,3CGbdJS3K9eljJAMtlTtpH
